id,name,color,created_at,updated_at
5,Alcoholische dranken,#AAAAAA,2021-04-26 17:21:46,2021-04-26 17:21:46
15,Mixdranken en cocktails,#AAAAAA,2021-04-26 17:21:46,2021-04-26 17:21:46
25,Bereide gerechten,#AAAAAA,2021-04-26 17:21:47,2021-04-26 17:21:47
35,Brood en graanproducten,#AAAAAA,2021-04-26 17:21:47,2021-04-26 17:21:47
45,Fruit,#AAAAAA,2021-04-26 17:21:49,2021-04-26 17:21:49
55,Groenten,#AAAAAA,2021-04-26 17:21:51,2021-04-26 17:21:51
65,Peulvruchten,#AAAAAA,2021-04-26 17:21:52,2021-04-26 17:21:52
75,pasta of rijst obv groenten/peulvruchten,#AAAAAA,2021-04-26 17:21:53,2021-04-26 17:21:53
85,Melk,#AAAAAA,2021-04-26 17:21:53,2021-04-26 17:21:53
95,Kaas & smeerkaas,#AAAAAA,2021-04-26 17:21:53,2021-04-26 17:21:53
105,Platte kaas,#AAAAAA,2021-04-26 17:21:53,2021-04-26 17:21:53
115,Melkdranken,#AAAAAA,2021-04-26 17:21:53,2021-04-26 17:21:53
125,Gefermenteerde melk,#AAAAAA,2021-04-26 17:21:54,2021-04-26 17:21:54
135,Melkdessert,#AAAAAA,2021-04-26 17:21:54,2021-04-26 17:21:54
145,Room/Milkshake/ handijs,#AAAAAA,2021-04-26 17:21:54,2021-04-26 17:21:54
155,Roomijs/schepijs,#AAAAAA,2021-04-26 17:21:55,2021-04-26 17:21:55
165,Frisdranken,#AAAAAA,2021-04-26 17:21:55,2021-04-26 17:21:55
175,Sappen - smoothies,#AAAAAA,2021-04-26 17:21:55,2021-04-26 17:21:55
185,"Ice-tea's",#AAAAAA,2021-04-26 17:21:55,2021-04-26 17:21:55
195,"Water, koffie, thee",#AAAAAA,2021-04-26 17:21:55,2021-04-26 17:21:55
205,Stimulating drinks,#AAAAAA,2021-04-26 17:21:55,2021-04-26 17:21:55
215,Calciumverrijkte sojaproducten,#AAAAAA,2021-04-26 17:21:55,2021-04-26 17:21:55
225,Amandelproducten,#AAAAAA,2021-04-26 17:21:56,2021-04-26 17:21:56
235,Andere alternatieven,#AAAAAA,2021-04-26 17:21:56,2021-04-26 17:21:56
245,Sauzen,#AAAAAA,2021-04-26 17:21:56,2021-04-26 17:21:56
255,Fond,#AAAAAA,2021-04-26 17:21:57,2021-04-26 17:21:57
265,Soepen,#AAAAAA,2021-04-26 17:21:57,2021-04-26 17:21:57
275,Suikers en zoetstoffen,#AAAAAA,2021-04-26 17:21:57,2021-04-26 17:21:57
285,Confituur,#AAAAAA,2021-04-26 17:21:57,2021-04-26 17:21:57
295,Siroop - Honing,#AAAAAA,2021-04-26 17:21:58,2021-04-26 17:21:58
305,Chocopasta - Speculaaspasta - Hagelslag,#AAAAAA,2021-04-26 17:21:58,2021-04-26 17:21:58
315,Vervangproducten,#AAAAAA,2021-04-26 17:21:58,2021-04-26 17:21:58
325,Vegetarische broodbeleg,#AAAAAA,2021-04-26 17:21:58,2021-04-26 17:21:58
335,Noten,#AAAAAA,2021-04-26 17:21:59,2021-04-26 17:21:59
345,Vers vlees,#AAAAAA,2021-04-26 17:21:59,2021-04-26 17:21:59
355,Bereide vleeswaren,#AAAAAA,2021-04-26 17:21:59,2021-04-26 17:21:59
365,Charcuterie en salades,#AAAAAA,2021-04-26 17:21:59,2021-04-26 17:21:59
375,"Verse vis, week- en schaaldieren",#AAAAAA,2021-04-26 17:22:00,2021-04-26 17:22:00
385,"Bereide vis, week- en schaaldieren",#AAAAAA,2021-04-26 17:22:00,2021-04-26 17:22:00
395,Zoute snacks,#AAAAAA,2021-04-26 17:22:00,2021-04-26 17:22:00
405,Snoepgoed & chocolade,#AAAAAA,2021-04-26 17:22:00,2021-04-26 17:22:00
415,Koeken,#AAAAAA,2021-04-26 17:22:01,2021-04-26 17:22:01
425,Gebak,#AAAAAA,2021-04-26 17:22:02,2021-04-26 17:22:02